trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.10636285161450935, 'e': 0.2127257032290187}",25,0,-30.310909661908276,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
155,False,"{'a': 0.10529922309836426, 'e': 0.21059844619672852}",20,7,-50.63859617367008,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
156,False,"{'a': 0.10424623086738062, 'e': 0.20849246173476124}",30,0,-50.287096519687005,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
157,False,"{'a': 0.1032037685587068, 'e': 0.2064075371174136}",25,3,25.960458035839665,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.10217173087311975, 'e': 0.2043434617462395}",20,0,30.762802891378264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.10115001356438855, 'e': 0.2023000271287771}",30,18,14.315798719377224,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.10013851342874465, 'e': 0.2002770268574893}",20,4,-20.707984951890644,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'a': 0.09913712829445721, 'e': 0.19827425658891443}",20,0,28.743930591030317,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.09814575701151264, 'e': 0.19629151402302528}",25,17,-68.75977093084167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
163,False,"{'a': 0.09716429944139751, 'e': 0.19432859888279502}",25,10,24.904463265821924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.09619265644698353, 'e': 0.19238531289396707}",20,0,18.99020859931907,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.0952307298825137, 'e': 0.1904614597650274}",20,12,14.634906976146894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.09427842258368856, 'e': 0.1885568451673771}",20,9,-24.604706112827152,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.09333563835785168, 'e': 0.18667127671570335}",20,0,14.094736382452,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.09240228197427315, 'e': 0.1848045639485463}",20,13,7.176469337109099,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.09147825915453042, 'e': 0.18295651830906084}",30,15,4.403651489371628,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.09056347656298512, 'e': 0.18112695312597024}",30,18,16.989321717556994,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
